iter 0: loss 10.9429, time 209016.06ms, mfu -100.00%
iter 10: loss 10.3309, time 1511.53ms, mfu 25.22%
iter 20: loss 9.7292, time 1526.87ms, mfu 25.20%
iter 30: loss 9.4580, time 1496.21ms, mfu 25.23%
iter 40: loss 9.2180, time 1601.54ms, mfu 25.08%
iter 50: loss 8.9289, time 1476.39ms, mfu 25.16%
iter 60: loss 8.8728, time 1440.56ms, mfu 25.29%
iter 70: loss 8.4320, time 1550.14ms, mfu 25.22%
iter 80: loss 8.4083, time 1777.71ms, mfu 24.84%
iter 90: loss 8.1619, time 1465.03ms, mfu 24.96%
iter 100: loss 7.9759, time 1382.00ms, mfu 25.22%
iter 110: loss 7.8127, time 1492.06ms, mfu 25.26%
iter 120: loss 7.7853, time 1503.97ms, mfu 25.26%
iter 130: loss 7.3540, time 1686.50ms, mfu 25.00%
iter 140: loss 7.3721, time 1206.34ms, mfu 25.66%
iter 150: loss 7.1889, time 1509.65ms, mfu 25.62%
iter 160: loss 7.4603, time 1591.44ms, mfu 25.45%
iter 170: loss 6.9107, time 1660.39ms, mfu 25.20%
iter 180: loss 6.7529, time 1491.47ms, mfu 25.24%
iter 190: loss 6.7461, time 1473.72ms, mfu 25.30%
iter 200: loss 6.4939, time 1530.84ms, mfu 25.26%
iter 210: loss 6.8436, time 1541.01ms, mfu 25.21%
iter 220: loss 6.5487, time 1499.14ms, mfu 25.23%
iter 230: loss 6.4302, time 1457.96ms, mfu 25.32%
iter 240: loss 6.3168, time 1517.37ms, mfu 25.30%
iter 250: loss 6.4658, time 1632.34ms, mfu 25.11%
iter 260: loss 6.2466, time 1307.62ms, mfu 25.51%
iter 270: loss 6.1979, time 1359.34ms, mfu 25.77%
iter 280: loss 6.4145, time 1422.10ms, mfu 25.87%
iter 290: loss 6.4507, time 1417.98ms, mfu 25.97%
iter 300: loss 6.2008, time 1447.66ms, mfu 26.01%
iter 310: loss 6.1527, time 1502.38ms, mfu 25.95%
iter 320: loss 6.1645, time 1493.06ms, mfu 25.90%
iter 330: loss 6.2232, time 1385.66ms, mfu 26.07%
iter 340: loss 6.0913, time 1356.16ms, mfu 26.27%
iter 350: loss 6.2391, time 1478.15ms, mfu 26.22%
iter 360: loss 6.0374, time 1448.40ms, mfu 26.23%
iter 370: loss 5.9715, time 1411.91ms, mfu 26.31%
iter 380: loss 5.9846, time 1453.93ms, mfu 26.30%
iter 390: loss 5.9730, time 1575.10ms, mfu 26.09%
iter 400: loss 5.9803, time 1484.78ms, mfu 26.05%
iter 410: loss 5.8233, time 1389.13ms, mfu 26.19%
iter 420: loss 5.9236, time 1368.92ms, mfu 26.36%
iter 430: loss 5.6965, time 1476.84ms, mfu 26.30%
iter 440: loss 5.6923, time 1408.80ms, mfu 26.38%
iter 450: loss 5.6946, time 1708.02ms, mfu 25.97%
iter 460: loss 5.6674, time 1325.24ms, mfu 26.25%
iter 470: loss 5.6822, time 1318.83ms, mfu 26.52%
iter 480: loss 5.6497, time 1648.61ms, mfu 26.18%
iter 490: loss 5.6067, time 1278.62ms, mfu 26.54%
iter 500: loss 5.6669, time 1248.80ms, mfu 26.94%
iter 510: loss 5.9175, time 1454.88ms, mfu 26.87%
iter 520: loss 5.7014, time 1619.24ms, mfu 26.53%
iter 530: loss 5.6014, time 1477.99ms, mfu 26.46%
iter 540: loss 5.4725, time 1538.68ms, mfu 26.29%
iter 550: loss 5.5084, time 1256.73ms, mfu 26.70%
iter 560: loss 5.4924, time 1621.24ms, mfu 26.38%
iter 570: loss 5.4921, time 1490.61ms, mfu 26.30%
iter 580: loss 5.5544, time 1428.83ms, mfu 26.34%
iter 590: loss 5.3079, time 1454.06ms, mfu 26.33%
iter 600: loss 5.5082, time 1362.85ms, mfu 26.49%
iter 610: loss 5.5226, time 1218.18ms, mfu 26.97%
iter 620: loss 5.3178, time 1227.78ms, mfu 27.38%
iter 630: loss 5.3152, time 1393.86ms, mfu 27.38%
iter 640: loss 5.2919, time 1348.68ms, mfu 27.47%
iter 650: loss 5.5181, time 1330.52ms, mfu 27.58%
iter 660: loss 5.3818, time 1458.49ms, mfu 27.44%
iter 670: loss 5.2217, time 1361.81ms, mfu 27.50%
iter 680: loss 5.1868, time 1385.86ms, mfu 27.50%
iter 690: loss 5.3482, time 1269.15ms, mfu 27.75%
iter 700: loss 5.1174, time 1203.18ms, mfu 28.14%
iter 710: loss 5.0173, time 1465.18ms, mfu 27.93%
